"SP500_lag2","IndexDiv_lag1","Loss"
-75.7575757575758,-95.959595959596,42482.3192645126
-73.7373737373737,-95.959595959596,41285.779627025
-71.7171717171717,-95.959595959596,40114.289905582
-69.6969696969697,-95.959595959596,38945.4765118334
-67.6767676767677,-95.959595959596,37782.7077821928
-65.6565656565656,-95.959595959596,36659.6564354678
-63.6363636363636,-95.959595959596,35553.3357059546
-61.6161616161616,-95.959595959596,34463.9537448245
-59.5959595959596,-95.959595959596,33385.2321488788
-57.5757575757576,-95.959595959596,32309.9906479309
-55.5555555555556,-95.959595959596,31230.1254856743
-53.5353535353535,-95.959595959596,30159.2166817482
-51.5151515151515,-95.959595959596,29080.032414961
-49.4949494949495,-95.959595959596,28018.5787398506
-47.4747474747475,-95.959595959596,26982.3579003443
-45.4545454545455,-95.959595959596,25945.3114578759
-43.4343434343434,-95.959595959596,24904.4957195381
-41.4141414141414,-95.959595959596,23878.3363868298
-39.3939393939394,-95.959595959596,22875.0434778681
-37.3737373737374,-95.959595959596,21871.2619191919
-35.3535353535353,-95.959595959596,20883.2130497878
-33.3333333333333,-95.959595959596,19893.4930849443
-31.3131313131313,-95.959595959596,18923.7096705759
-29.2929292929293,-95.959595959596,17954.8055253914
-27.2727272727273,-95.959595959596,17015.2825152383
-25.2525252525252,-95.959595959596,16111.666189028
-23.2323232323232,-95.959595959596,15231.9758074169
-21.2121212121212,-95.959595959596,14370.071968392
-19.1919191919192,-95.959595959596,13514.0586029944
-17.1717171717172,-95.959595959596,12682.7336863122
-15.1515151515151,-95.959595959596,11873.7708072546
-13.1313131313131,-95.959595959596,11083.836059059
-11.1111111111111,-95.959595959596,10321.9842339655
-9.09090909090908,-95.959595959596,9565.38948084289
-7.07070707070706,-95.959595959596,8784.09904441153
-5.05050505050504,-95.959595959596,8022.97728621434
-3.03030303030303,-95.959595959596,7277.18883483492
-1.01010101010101,-95.959595959596,6562.6412166362
1.01010101010101,-95.959595959596,6107.27203396448
3.03030303030303,-95.959595959596,5467.0095806618
5.05050505050505,-95.959595959596,4866.99505673316
7.07070707070707,-95.959595959596,4299.46950278489
9.09090909090909,-95.959595959596,3768.1555974277
11.1111111111111,-95.959595959596,3252.75633891037
13.1313131313131,-95.959595959596,2775.17288225671
15.1515151515152,-95.959595959596,2330.74510206389
17.1717171717172,-95.959595959596,1922.63242705907
19.1919191919192,-95.959595959596,1555.11218448696
21.2121212121212,-95.959595959596,1227.70308381114
23.2323232323232,-95.959595959596,929.927682511352
25.2525252525253,-95.959595959596,672.359423889759
27.2727272727273,-95.959595959596,463.583595516275
29.2929292929293,-95.959595959596,292.889299323741
31.3131313131313,-95.959595959596,157.643477657479
33.3333333333333,-95.959595959596,65.4940308711894
35.3535353535354,-95.959595959596,13.550118722105
37.3737373737374,-95.959595959596,0.600486085281326
39.3939393939394,-95.959595959596,29.073224359706
41.4141414141414,-95.959595959596,101.546807211864
43.4343434343434,-95.959595959596,215.166878343564
45.4545454545455,-95.959595959596,370.20544663609
47.4747474747475,-95.959595959596,564.88802534225
49.4949494949495,-95.959595959596,793.833540032904
51.5151515151515,-95.959595959596,1062.1341580661
53.5353535353536,-95.959595959596,1368.66770017483
55.5555555555556,-95.959595959596,1709.90053719049
57.5757575757576,-95.959595959596,2080.55289914054
59.5959595959596,-95.959595959596,2489.65373245403
61.6161616161616,-95.959595959596,2933.77036209767
63.6363636363637,-95.959595959596,3410.25130793107
65.6565656565657,-95.959595959596,3903.31073803693
67.6767676767677,-95.959595959596,4415.3865122158
69.6969696969697,-95.959595959596,4954.1305578979
71.7171717171717,-95.959595959596,5530.2838325461
73.7373737373738,-95.959595959596,6148.37679542506
75.7575757575758,-95.959595959596,6789.25026575914
77.7777777777778,-95.959595959596,7455.52034311768
79.7979797979798,-95.959595959596,8151.46369135702
81.8181818181818,-95.959595959596,8878.81672461867
83.8383838383839,-95.959595959596,9634.73984883571
85.8585858585859,-95.959595959596,10428.4908791207
87.8787878787879,-95.959595959596,11282.5742002693
89.8989898989899,-95.959595959596,12163.4036398943
91.919191919192,-95.959595959596,13089.8503651104
93.9393939393939,-95.959595959596,14052.6115845464
95.959595959596,-95.959595959596,15021.7578742209
97.979797979798,-95.959595959596,16013.2279430535
100,-95.959595959596,17026.5292735256
-100,-93.9393939393939,54886.5880505775
-97.979797979798,-93.9393939393939,53801.6781313087
-95.959595959596,-93.9393939393939,52728.3477048217
-93.9393939393939,-93.9393939393939,51661.3230192014
-91.9191919191919,-93.9393939393939,50591.9221482441
-89.8989898989899,-93.9393939393939,49535.3562388458
-87.8787878787879,-93.9393939393939,48436.8856363077
-85.8585858585859,-93.9393939393939,47319.9569278936
-83.8383838383838,-93.9393939393939,46201.1062631851
-81.8181818181818,-93.9393939393939,45080.3485897214
-79.7979797979798,-93.9393939393939,43974.7920417097
-77.7777777777778,-93.9393939393939,42827.4985359299
-75.7575757575758,-93.9393939393939,41638.0969238939
-73.7373737373737,-93.9393939393939,40450.8721992996
-71.7171717171717,-93.9393939393939,39284.8894754241
-69.6969696969697,-93.9393939393939,38142.9011807316
-67.6767676767677,-93.9393939393939,36998.6827616901
-65.6565656565656,-93.9393939393939,35863.0460962782
-63.6363636363636,-93.9393939393939,34778.060600871
-61.6161616161616,-93.9393939393939,33697.3588181836
-59.5959595959596,-93.9393939393939,32636.2500936855
-57.5757575757576,-93.9393939393939,31586.0904806937
-55.5555555555556,-93.9393939393939,30527.7234807086
-53.5353535353535,-93.9393939393939,29476.6180982702
-51.5151515151515,-93.9393939393939,28423.4095578827
-49.4949494949495,-93.9393939393939,27372.4286262162
-47.4747474747475,-93.9393939393939,26346.0356934159
-45.4545454545455,-93.9393939393939,25333.5431827994
-43.4343434343434,-93.9393939393939,24315.1995343962
-41.4141414141414,-93.9393939393939,23303.4084339561
-39.3939393939394,-93.9393939393939,22312.1471365068
